region,note,population,nonprofits,nonprofits_per_100k,scholarship_candidates,scholarship_candidates_per_100k,scholar_named_orgs,community_foundations,service_clubs,grantmakers,grantmakers_per_100k,grantmaker_assets,grantmaker_assets_per_capita
"Sarasota+Manatee, FL",wealthy retirement region (baseline),880000,4529,514.7,834,94.8,26,12,95,412,46.8,4587568268,5213
"Lucas County (Toledo), OH",median Rust Belt metro,428000,2500,584.1,261,61.0,22,8,33,95,22.2,781598898,1826
"Sedgwick County (Wichita), KS",median plains metro,525000,2608,496.8,328,62.5,22,8,20,146,27.8,1608502704,3064
"Hamilton County (Chattanooga), TN",median southern metro,370000,2089,564.6,196,53.0,8,4,23,102,27.6,1778918411,4808
