name,ein,city,county,type,ntee,files_990pf,assets,income,revenue
JATH PRIVATE FOUNDATION,856802069,Venice,Sarasota,Private foundation,,Y,930551,227058,0
KAYLA MITCHELL FOUNDATION,562307848,Sarasota,Sarasota,Private foundation,T22,Y,910714,33019,0
ESSNER FAMILY FOUNDATION,814580388,Sarasota,Sarasota,Private foundation,T22,Y,905688,298080,0
RAFRANCO FOUNDATION,874476515,Sarasota,Sarasota,Private foundation,T20,Y,894134,160050,0
JANE AND RABBI ABRAHAM KRANTZ FAMILY FOUNDATION,133914838,Sarasota,Sarasota,Private foundation,T99Z,Y,880013,184366,0
ORMOND W DIXON CHARITABLEFOUNDATION,260563823,Englewood,Sarasota,Private foundation,T22,Y,873782,134309,0
CAROLE AND DOUG MAIBACH FAMILY FOUNDATION INC,884272812,Parrish,Manatee,Private foundation,T20,Y,869826,925369,0
TRIPLETT FAM FOUNDATION TR,206802824,Parrish,Manatee,Private foundation,T20,Y,860088,595204,0
MUELLER HOISEL WANGER CHARITABLE FOUNDATION,464380504,Venice,Sarasota,Private foundation,T20,Y,846536,227871,0
NEWTON IRT FBO BOYS & GIRLS CLUB OF SARASOTA,816266418,Sarasota,Sarasota,Private foundation,T20,Y,837576,419531,0
GULF COAST STRATEGIC INVESTMENTS INC,202651678,Venice,Sarasota,Public grantmaker,T30,,837228,0,0
VILLAGE GROUP PARTNERS INC,510425506,Bradenton,Manatee,Private foundation,L20,Y,834569,60580,0
RUTLEDGE CHARITABLE FOUNDATION INC,650946333,Sarasota,Sarasota,Private foundation,,Y,814586,440742,0
MARGARET M LYNSKEY TR,226614855,Longboat Key,Sarasota,Private foundation,T20Z,Y,799543,99570,0
GASTON DUFRESNE FOUNDATION FOR THE PERFORMING ARTS,650939291,Sarasota,Sarasota,Private foundation,T220,Y,789194,126510,0
HERMAN E & HELEN H TURNER FOUNDATION TRUST,656260563,Holmes Beach,Manatee,Private foundation,T22,Y,781441,264163,0
WEST FAMILY FOUNDATION TRUST,331722493,Venice,Sarasota,Private foundation,T22,Y,781325,1497225,0
FALKNER FAMILY FOUNDATION INC,871752355,Myakka City,Manatee,Private foundation,T23,Y,780903,186311,0
LAURENTI FAMILY CHARITABLE TR,223697005,Sarasota,Sarasota,Private foundation,T22,Y,775514,174836,0
GLASGOW FOUNDATION,873628753,Bradenton,Manatee,Private foundation,B82,Y,762408,634574,0
THE CRAIG AND FLORI ROBERTS FAMILY FOUNDATION INC,650402203,Sarasota,Sarasota,Private foundation,,Y,741562,102910,0
OLIAN FOUNDATION INC,136160914,Sarasota,Sarasota,Private foundation,,Y,736485,904256,0
JEANETTE B MCCAY IRRV TR 091619,656315837,Englewood,Sarasota,Public grantmaker,,Y,729028,54778,0
