name,ein,city,county,type,ntee,files_990pf,assets,income,revenue
ANTHONY AND CHRISTIE DE NICOLA FOUNDATION,316647684,Englewood,Sarasota,Private foundation,T21,Y,74738346,21115972,0
MANATEE COMMUNITY FOUNDATION INC,650833500,Bradenton,Manatee,Community foundation,T31,,69118344,60827625,10235365
THE JEWISH FEDERATION OF SARASOTA-MANATEE INC,591227747,Sarasota,Sarasota,Public grantmaker,T70Z,,67765124,17156866,10732008
W DALE BROUGHER FOUNDATION INC,521499358,Sarasota,Sarasota,Private foundation,,Y,67616622,78888887,0
RENWICK FOUNDATION-USA,923457678,Longboat Key,Sarasota,Private foundation,T20,Y,66398868,43510927,0
PENTECOST FOUNDATION,271471062,Bradenton,Manatee,Private foundation,T22,Y,62890141,52642858,0
ELLING O EIDE CHARITABLE FOUNDATION INC,461488932,Sarasota,Sarasota,Private foundation,T23,Y,62757939,13324680,0
THE BILL & ANN TEMPLETON FOUNDATION INC,203073117,Sarasota,Sarasota,Private foundation,T22,Y,53174148,7889423,0
HILDA & PRESTON DAVIS PRIVATE FOUNDATION,237966458,Sarasota,Sarasota,Private foundation,T20Z,Y,48104121,6400817,0
JOAN M WISMER FOUNDATION,233089181,Sarasota,Sarasota,Private foundation,T20,Y,43785739,14758734,0
NEMA FOUNDATION INC,274357830,Sarasota,Sarasota,Public grantmaker,T30,,32581469,43309295,30496474
HENRY E & PAULINE S BECKER CHARITABLE FOUNDATION,206297485,Sarasota,Sarasota,Private foundation,T22,Y,32303090,10814837,0
ROSKAMP FOUNDATION IRRV TR UA 052096,656206042,Sarasota,Sarasota,Private foundation,T23,Y,30961485,72459,0
THE REALIZATION FOUNDATION,046904482,Bradenton,Manatee,Private foundation,T22,Y,25872668,8875335,0
RALPH S FRENCH CHARITABLE FOUNDATION TRUST,273542831,Bradenton,Manatee,Private foundation,T22,Y,25112957,16182344,0
S & S CHARITABLE FOUNDATION INC,873844316,Sarasota,Sarasota,Private foundation,T22,Y,24376844,3290089,0
ALICE PACK AND L THOMAS MELLY FOUNDATION,237059703,Sarasota,Sarasota,Private foundation,,Y,23655550,24426927,0
LANGHAM PRIVATE FOUNDATION TR,926361152,Sarasota,Sarasota,Private foundation,T20,Y,20309323,19759726,0
GREEN FAMILY FOUNDATION INC,204256553,Bradenton,Manatee,Private foundation,T22,Y,20144427,5263391,0
DR LARRY & ANN LAIKS CHARITABLE TR UAD 31 OCT 2000 AS AMENDED,926200770,Sarasota,Sarasota,Private foundation,H30,Y,18377456,8440742,0
DANIEL S BLALOCK JR CHARITABLE FOUNDATION TR UAD 5-13-1988 AS AME,836260131,Bradenton,Manatee,Private foundation,T20,Y,18018963,7413263,0
ARNOLD SIMONSEN FAMILY CHARITABLE FOUNDATION INC,261624741,Longboat Key,Sarasota,Private foundation,T20,Y,17941777,1373500,0
ROBERTA LEVENTHAL SUDAKOFF FOUNDATION INC,311483381,Sarasota,Sarasota,Private foundation,T60Z,Y,17236122,6024874,0
GARDENER FOUNDATION INC,260615969,Sarasota,Sarasota,Private foundation,T20,Y,16964953,12495292,0
JAKE FOUNDATION INC,522107509,Sarasota,Sarasota,Private foundation,T20Z,Y,16627547,19784629,0
MICHAEL G CURRAN FAMILY FOUNDATION,061691227,Bradenton,Manatee,Private foundation,T20,Y,16609455,47211608,0
KOSLOSKI FAMILY FOUNDATION,822959949,Sarasota,Sarasota,Private foundation,T12,Y,15368806,10819988,0
JAMES AND BRENDA HOYT FOUNDATION,650754834,Sarasota,Sarasota,Private foundation,T20Z,Y,15206741,4643677,0
WILSON - WOOD FOUNDATION INC,592243926,Nokomis,Sarasota,Private foundation,B99Z,Y,14916031,2970915,0
MICHAEL J KOSLOSKI FOUNDATION,226800804,Sarasota,Sarasota,Private foundation,T22,Y,14848711,3530430,0
TAYLOR FAMILY FOUNDATION INC,396058301,Bradenton,Manatee,Private foundation,,Y,14282272,2064918,0
SUNSHINE NATURAL WELLBEING FOUNDATION,656220389,Sarasota,Sarasota,Private foundation,T22Z,Y,14216029,673133,0
EDMUND J & ESTELLE D WALKER CHARITABLE TRUST,271036148,Venice,Sarasota,Private foundation,T22,Y,13585215,866881,0
MAKE DISCIPLES CHARITABLE FOUNDATION,866690558,Sarasota,Sarasota,Private foundation,T23,Y,13082850,2669986,0
GETTEL FOUNDATION INC,061639333,Bradenton,Manatee,Private foundation,T31,Y,12607750,3425220,0
GAIL L BAIRD FAMILY FOUNDATION INC,455239860,Sarasota,Sarasota,Private foundation,T22,Y,12116556,1014551,0
GEORGE AND LUCY MALMBERG FOUNDATION TR AGREEMENT,816941753,Sarasota,Sarasota,Private foundation,T20,Y,12052065,8967076,0
FRY FAMILY FOUNDATION A NEW JERSEY NONPROFIT CORPORATION,223515940,Osprey,Sarasota,Private foundation,T22Z,Y,11376558,1911241,0
PURJES FOUNDATION,137220937,Longboat Key,Sarasota,Private foundation,T22,Y,11301078,6611185,0
SUMMER BREEZE FOUNDATION,832748016,Sarasota,Sarasota,Private foundation,T20,Y,11189885,10520974,0
MOTE SCIENTIFIC FOUNDATION INC,136117615,Sarasota,Sarasota,Private foundation,,Y,10740282,6288814,0
ALL STAR CHILDRENS FOUNDATION INC,202182079,Sarasota,Sarasota,Public grantmaker,T12,,10538367,4016613,3854498
MCMURTRY FAMILY FOUNDATION,510478343,Venice,Sarasota,Private foundation,T22,Y,10460258,2030678,0
THE KARAFIN FAMILY FOUNDATION,387123022,Longboat Key,Sarasota,Private foundation,T12,Y,10211884,1399845,0
BOSCIA FAMILY FOUNDATION,200614587,Sarasota,Sarasota,Private foundation,T20,Y,10207958,672717,0
HAYES FAMILY FOUNDATION,372168030,Sarasota,Sarasota,Private foundation,B19,Y,10041424,10041424,0
STONE FOUNDATION INC,475601594,Longboat Key,Sarasota,Private foundation,T22,Y,9806118,5596115,0
ROBERT E DODS FAMILY FOUNDATION INC,825068080,Longboat Key,Sarasota,Private foundation,T22,Y,9783476,5739962,0
STEVE AND NATALEE HERRIG FAMILY FOUNDATION INC,854146618,Bradenton,Manatee,Private foundation,T90,Y,9781998,5315473,0
STEINWACHS FAMILY FOUNDATION,161574554,Sarasota,Sarasota,Private foundation,T30,Y,9681019,279428,0
MIRNER FAMILY FOUNDATION,477410894,Longboat Key,Sarasota,Private foundation,T90,Y,9514447,2123189,0
RICHARD D DONCHIAN CHARITABLE FOUNDATION INC,061514402,Sarasota,Sarasota,Private foundation,,Y,9502215,5663948,0
PICCHI FAMILY FOUNDATION INC,934185922,Osprey,Sarasota,Private foundation,T22,Y,8949297,462469,0
ST STEPHENS EPISCOPAL SCHOOL ENDOWMENT FUND TR,650771320,Bradenton,Manatee,Public grantmaker,T22Z,,8321546,2155893,323922
DOUGLAS R MOORE FAMILY FOUNDATION,208628156,Sarasota,Sarasota,Private foundation,T22,Y,8300857,6251332,0
SKL FAMILY FOUNDATION,455537478,Nokomis,Sarasota,Private foundation,P12,Y,8298068,9587153,0
DONA & SAM SCOTT FOUNDATION,461562521,Sarasota,Sarasota,Private foundation,T22,Y,8233032,1182012,0
JAMES M DOSS CHARITABLE FOUNDATION TR,306558102,Sarasota,Sarasota,Private foundation,T22,Y,7947597,2685449,0
CENTER FOR FAITH AND FREEDOM INC,330365751,Lakewood Ranch,Manatee,Private foundation,X80,Y,7615698,990616,0
CARY JAY MORRISON TR DATED DECEMBER 8 2008 AS AMENDED,456968359,Sarasota,Sarasota,Private foundation,T20,Y,7287837,2782927,0
HURLBURT FOUNDATION INC,650795533,Sarasota,Sarasota,Private foundation,T20Z,Y,7156050,1556266,0
MCGRATH FAMILY FOUNDATION INC,921362443,Longboat Key,Sarasota,Private foundation,T20,Y,7154513,1501426,0
CAROLYN HAMMOND BRYE CHARITABLE FOUNDATION INC,651059468,Sarasota,Sarasota,Private foundation,T22,Y,7025714,209751,0
RODKIN FAMILY FOUNDATION INC,262434554,Sarasota,Sarasota,Private foundation,T22,Y,6965620,1268186,0
LELAND FAMILY FOUNDATION CORP,922034369,Sarasota,Sarasota,Private foundation,T22,Y,6859114,716120,0
COTE FAMILY TGS FOUNDATION INC,331769334,Anna Maria,Manatee,Private foundation,T22,Y,6818755,9332689,0
REGMARK FOUNDATION INC,832752186,Sarasota,Sarasota,Private foundation,T20,Y,6583934,2582240,0
OPPORTUNITY FOUNDATION INC,263928645,Sarasota,Sarasota,Private foundation,T22,Y,6573497,4985402,0
JANET AND STANLEY KANE FOUNDATION INC,650405758,Sarasota,Sarasota,Private foundation,,Y,6317498,160422,0
SOL TAPLIN CHARITABLE FOUNDATION,656272903,Sarasota,Sarasota,Private foundation,T20,Y,6295624,1070748,0
THE CHARLES & CHRISTINE SHIVERY FOUNDATION,522274633,Longboat Key,Sarasota,Private foundation,Z99,Y,5940841,2231216,0
MARIETTA MUSEUM OF ART & WHIMSY INC,270328538,Sarasota,Sarasota,Private foundation,A50,Y,5936595,2267601,0
ALMA GIBBS DONCHIAN CHARITABLE FOUNDATION INCORPORATED,061514400,Sarasota,Sarasota,Private foundation,,Y,5848824,3500061,0
LEONARD AND JUDITH SCHWARTZBAUM FAMILY FOUNDATION INC,814564555,Sarasota,Sarasota,Private foundation,T20,Y,5792205,292342,0
BERNARD F & MARY ANN POWELL FOUNDATION INC,593575091,Parrish,Manatee,Private foundation,T20,Y,5675802,775548,0
JERRY L AND FAY E BAINBRIDGE FAMILYFOUNDATION INC,208059666,Sarasota,Sarasota,Private foundation,T20,Y,5578102,1577936,0
DOLL-LOESEL FOUNDATION,383212771,Sarasota,Sarasota,Private foundation,T22Z,Y,5518247,1955985,0
DALEY FAMILY FOUNDATION,464298978,Longboat Key,Sarasota,Private foundation,T22,Y,5443289,600453,0
DR AND MRS BERNHARD BOECKER FOUNDATION CHARITABLE TR,866473047,Sarasota,Sarasota,Private foundation,,Y,5421232,988084,0
DL CHARITABLE FOUNDATION,205321479,Sarasota,Sarasota,Private foundation,T22,Y,5362102,1169721,0
R M BEALL SR CHARITABLE FOUNDATION,592851924,Bradenton,Manatee,Private foundation,T22Z,Y,5343180,1909045,0
HARRY SUDAKOFF FOUNDATION INC,650439722,Sarasota,Sarasota,Private foundation,,Y,5120386,1764874,0
MARCIA AND MICHAEL KLEIN FOUNDATION,261597287,Longboat Key,Sarasota,Private foundation,T20,Y,5119853,3545786,0
TAKE STOCK IN CHILDREN OF MANATEE COUNTY INC,461337168,Palmetto,Manatee,Public grantmaker,T30,,5103389,1424147,1424147
DONTES DEN FOUNDATION INC,263919566,Myakka City,Manatee,Private foundation,D99,Y,5082132,815264,0
KENNETH T & MILDRED S GAMMONS CHARITABLE FOUNDATION INC,650596492,Sarasota,Sarasota,Private foundation,T22Z,Y,5019678,58924,0
KOSKI FAMILY FOUNDATION INC,650764285,Sarasota,Sarasota,Private foundation,Z99Z,Y,4947456,3865572,0
LAWRENCE P CASTELLANI FAMILY FOUNDATION,166399132,Sarasota,Sarasota,Private foundation,T20Z,Y,4799488,838739,0
THE@ALAN AND TERRI SPOON FAMILY FOUNDATION,510433601,Longboat Key,Sarasota,Private foundation,T22,Y,4792911,5309019,0
EDWARD D AND ANNA MITCHELL FAMILY FOUNDATION A DELAWARE CORP,954715236,Sarasota,Sarasota,Private foundation,P58,Y,4653995,170178,0
SCHMIDT FAMILY FOUNDATION INC,610921414,Sarasota,Sarasota,Private foundation,A540,Y,4647496,913297,0
MISDEE WRIGLEY AND JAMES MATHER MILLER,201456820,Sarasota,Sarasota,Private foundation,T22,Y,4553923,639103,0
THE DUNN FAMILY CHARITABLE FOUNDATION,453077366,Sarasota,Sarasota,Private foundation,T21,Y,4323063,5847844,0
LINNIE E DALBECK MEMORIAL FOUNDATION,656329977,Sarasota,Sarasota,Private foundation,T22,Y,4209756,2854727,0
BRADENTON MISSIONARY VILLAGE INC,753109465,Bradenton,Manatee,Private foundation,L20,Y,4126820,2301602,0
EHRHART FAMILY FOUNDATION,656263281,Venice,Sarasota,Private foundation,T22,Y,4097400,460987,0
SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF MANATEE CO,590826963,Bradenton,Manatee,Private foundation,,Y,4067365,1737668,0
NEIL AND SANDRA DEFEO FAMILY FOUNDATION,266141110,Sarasota,Sarasota,Private foundation,T20,Y,4029857,906842,0
BROKEN WHEEL MINISTRIES,271564922,Englewood,Sarasota,Private foundation,T20,Y,4001227,2302471,0
MACEIKONIS FAMILY FOUNDATION,871986859,Sarasota,Sarasota,Private foundation,P01,Y,3905044,298514,0
GETZEN FAMILY CHARITIES INC,820540623,Sarasota,Sarasota,Private foundation,T22,Y,3770116,722100,0
ELIZABETH AND KEVIN A TATTAM FOUNDATION INC,201035767,Anna Maria,Manatee,Private foundation,T22,Y,3673129,1768261,0
DORIS M CARTER FAMILY FOUNDATION,200068099,Sarasota,Sarasota,Private foundation,T20,Y,3660431,660728,0
PATRICIA J BUSTER FOUNDATION CHARITABLE TR UAD 04071981,656259550,Sarasota,Sarasota,Private foundation,T20Z,Y,3654330,3054420,0
ANTOINE OBRIEN FAMILY FOUNDATION INC,464026551,Longboat Key,Sarasota,Private foundation,T99,Y,3650782,1488157,0
FAULHABER FOUNDATION INC,593680687,Nokomis,Sarasota,Private foundation,T22,Y,3620885,288757,0
CAPILLARY FOUNDATION INC,874016827,Bradenton,Manatee,Private foundation,T20,Y,3605045,2230173,0
PLATKIN FAMILY FOUNDATION INC,134263380,Sarasota,Sarasota,Private foundation,T20,Y,3540170,3549337,0
SWART FAMILY FOUNDATION,266046163,Sarasota,Sarasota,Private foundation,T20,Y,3511725,2297151,0
BOMBERGER FOUNDATION INC,205349740,Bradenton,Manatee,Private foundation,T22,Y,3500785,812236,0
TACKEL-RAVEN FAMILY FOUNDATION,475564067,Osprey,Sarasota,Private foundation,T20,Y,3406378,321073,0
LORDSHIP FOUNDATION INC,582611428,Sarasota,Sarasota,Public grantmaker,T20,,3318623,723107,542603
EDWIN J BECCUE MEMORIAL FOUNDATION TRUST,842726862,Sarasota,Sarasota,Private foundation,T20,Y,3251659,397047,0
SWIFT FAMILY FOUNDATION INC,200102620,Sarasota,Sarasota,Private foundation,T22,Y,3235687,441417,0
HENRY S AND MARGARET GAY MIKA CHARITABLE FOUNDATION INC,020535154,Sarasota,Sarasota,Private foundation,T22,Y,3233874,52036,0
SARA ROBERTS FOUNDATION INC,204225372,Sarasota,Sarasota,Private foundation,D20,Y,3110005,370966,0
ZIMMER FAMILY FOUNDATION INC,311596973,Sarasota,Sarasota,Private foundation,T20Z,Y,3102124,33813227,0
PAUL H PUSEY FOUNDATION,237043682,Sarasota,Sarasota,Private foundation,,Y,3081933,1483474,0
PATRIOT HILL RANCH INC,853274231,Parrish,Manatee,Private foundation,W30,Y,3005678,424450,0
RITA B LAMERE MEMORIAL FOUNDATION,306209352,Sarasota,Sarasota,Private foundation,T20,Y,2917550,570033,0
SMITH FAMILY LEGACY FOUNDATION,205002466,Sarasota,Sarasota,Private foundation,T22,Y,2901990,899804,0
W PAUL HOENLE FOUNDATION INC,383385672,Sarasota,Sarasota,Private foundation,T20Z,Y,2896023,435076,0
DUKE & LORI VANDER ARK FOUNDATION,275433447,Englewood,Sarasota,Private foundation,T20,Y,2876528,81005,0
LUO PAN FOUNDATION,814701284,Sarasota,Sarasota,Private foundation,T20,Y,2873191,631197,0
LINVILLE FAM FOUNDATION,206386091,Venice,Sarasota,Private foundation,T22,Y,2831471,137257,0
THE HARRY SHAPIRO CHARITABLE FOUNDATION INC,306458212,Sarasota,Sarasota,Private foundation,T20,Y,2821906,1051766,0
JOAN ARMOUR MENDELL FOUNDATION INC,461593016,Sarasota,Sarasota,Private foundation,T20,Y,2813822,630734,0
BIRCH ISLAND FOUNDATION,876540286,Sarasota,Sarasota,Private foundation,T22,Y,2811803,11675907,0
SHANK FAMILY FOUNDATION,261609483,Sarasota,Sarasota,Private foundation,T21,Y,2670007,1059894,0
LOUIE R & GERTRUDE MORGAN FOUNDATION INC,596142359,Sarasota,Sarasota,Private foundation,,Y,2653183,558638,0
ANNETTE J HAGENS MEMORIAL FOUNDATION,656248208,Sarasota,Sarasota,Private foundation,T20Z,Y,2642594,360803,0
KUTYA MAJOR FOUNDATION,273978348,Sarasota,Sarasota,Private foundation,T22,Y,2552279,1115478,0
DONNELLY FAMILY FOUNDATION CORP,832785988,Sarasota,Sarasota,Private foundation,T20,Y,2530597,1474632,0
GORDON FAMILY FOUNDATION,261146556,Sarasota,Sarasota,Private foundation,T20,Y,2518463,445838,0
THE BRUNJES FAMILY CHARITABLE TRUST,456660955,Longboat Key,Sarasota,Private foundation,T22,Y,2441956,1677443,0
BOOSTERS FOUNDATION INC,812127166,Sarasota,Sarasota,Private foundation,T30,Y,2420338,55492,0
SACK FAMILY FOUNDATION,656217967,Longboat Key,Sarasota,Private foundation,T22Z,Y,2396524,1025251,0
STUHLEY CHARITABLE FOUNDATION,882706164,Nokomis,Sarasota,Private foundation,P20,Y,2389219,383722,0
OLIN FAMILY FOUNDATION INC,113332090,Longboat Key,Sarasota,Private foundation,T31J,Y,2332847,137156,0
WETHERINGTON FOUNDATION INC,371472181,Sarasota,Sarasota,Public grantmaker,T30,,2310904,1040570,466333
PRIOR FAMILY CHARITABLE TRUST,366840926,Venice,Sarasota,Private foundation,,Y,2285946,1019907,0
EVALYN SADLIER JONES FOUNDATION INC,923634763,Sarasota,Sarasota,Private foundation,T12,Y,2255874,426796,0
MAY K HOUCK FOUNDATION,590777857,Sarasota,Sarasota,Private foundation,,Y,2207107,1009436,0
TILLIE JENNIE AND HAROLD SCHAWARTZ FOUNDATION INC,311471764,Sarasota,Sarasota,Private foundation,T22Z,Y,2190765,297099,0
PORTER FAMILY FOUNDATION,460499146,Longboat Key,Sarasota,Private foundation,T22,Y,2179444,575574,0
BURRUSS FOUNDATION TR 033100,656338689,Sarasota,Sarasota,Private foundation,T22,Y,2163006,327742,0
DR STEPHEN AND KIRSTEN HOSMAN FAMILY FOUNDATION INC,873898360,Englewood,Sarasota,Private foundation,P12,Y,2074533,732749,0
GEORGE C PERREAULT FOUNDATION INC,853423234,Sarasota,Sarasota,Private foundation,T90,Y,2037537,366502,0
KIMBERLY A FOUNDATION CORP,261392806,Longboat Key,Sarasota,Private foundation,T20,Y,2012711,278404,0
JAY & BECKY KAISERMAN FOUNDATION,592549476,Sarasota,Sarasota,Private foundation,,Y,2009575,4607505,0
BE IN MCCORMACK FOUNDATION INC,843901985,Bradenton,Manatee,Private foundation,T22,Y,2005701,1160900,0
BETY N GILES CHARITABLE FOUNDATION INC,651107943,Sarasota,Sarasota,Private foundation,T22,Y,2004267,5877,0
DOLLRIES FAMILY FOUNDATION,854312421,Sarasota,Sarasota,Private foundation,T20,Y,1998378,541270,0
THE DEAN FAMILY FOUNDATION,383631938,Venice,Sarasota,Private foundation,T22,Y,1986022,107179,0
H GLADSTONE AND BETTY PRITCHARD MCKEON CHARITABLE TR UA 01012011,306271110,Sarasota,Sarasota,Private foundation,T12,Y,1979277,527961,0
JOHN D & LESLIE HENNER BURNS FAM FOUNDATION,364482898,Osprey,Sarasota,Private foundation,T22,Y,1964467,1811053,0
FRANK J AND LENORA DUPUIS FOUNDATION INC,453568792,Sarasota,Sarasota,Private foundation,T20,Y,1950585,863731,0
MCCOMB FAMILY FOUNDATION,465379815,Sarasota,Sarasota,Private foundation,W99,Y,1949376,71316,0
MR & MRS WAYNE B LYON FOUNDATION,382680420,Terra Ceia,Manatee,Private foundation,,Y,1943647,1762176,0
ARTHUR S KARP FAMILY FOUNDATION INC,650632704,Sarasota,Sarasota,Private foundation,T90Z,Y,1891638,494691,0
WHITCRAFT FAMILY CHARITABLE TRUST,831932833,Sarasota,Sarasota,Private foundation,T22,Y,1879062,4238202,0
TARR CHARITABLE FAMILY FOUNDATION INC,650416098,Sarasota,Sarasota,Private foundation,,Y,1873500,291212,0
VERNON G & SANDRA J C BUCHANAN FAMILY FOUNDATION INC,203963153,Sarasota,Sarasota,Private foundation,T20,Y,1867806,778216,0
BERNATCHEZ FAMILY FOUNDATION TR UA 12132006,306201571,Sarasota,Sarasota,Private foundation,T22,Y,1845388,547578,0
JANICE S KELLY MEMORIAL FOUNDATION,656369744,Sarasota,Sarasota,Private foundation,T70,Y,1832589,79131,0
LEE FAMILY FOUNDATION TR,046919219,Sarasota,Sarasota,Private foundation,T20,Y,1818498,1310615,0
THE KATHARINA & JOSEPH SCHOBER FOUNDATION INC,650107997,Sarasota,Sarasota,Private foundation,,Y,1800263,907345,0
CURD FAMILY FOUNDATION INC,472791467,Sarasota,Sarasota,Private foundation,T50,Y,1796215,100288,0
THE EL SHAHAWY FAMILY FOUNDATION INC,208120780,Sarasota,Sarasota,Private foundation,T22,Y,1750097,2056339,0
THE VENICE ENDOWMENT INC,590668991,Venice,Sarasota,Public grantmaker,T700,,1729375,0,0
HORAN FAMILY FOUNDATION INC,831948519,Venice,Sarasota,Private foundation,T50,Y,1728025,616570,0
DOR FAMILY FOUNDATION,830345103,Sarasota,Sarasota,Private foundation,T22,Y,1692924,101415,0
JEAN AND WALT KITONIS CHARITABLE FOUNDATION,823774139,Venice,Sarasota,Private foundation,T50,Y,1672142,70812,0
MANATEE MEMORIAL FOUNDATION INC,650392921,Bradenton,Manatee,Public grantmaker,T30,,1670363,2286053,1379638
CATHERINE AND FRANCIS BURZIK FOUNDATION,453975185,Sarasota,Sarasota,Private foundation,T22,Y,1663869,2144891,0
JOE & MICHELLE VERBRUGGE FAMILY FOUNDATION,854226710,Holmes Beach,Manatee,Private foundation,T20,Y,1662725,615482,0
WINFIELD C COOK & ISABELLE K COOK CHARITABLE FOUNDATION INC,542107496,Sarasota,Sarasota,Private foundation,T20,Y,1641729,353525,0
W J & LELA BUDWINE FOUNDATION INC,760520860,Bradenton,Manatee,Private foundation,T30Z,Y,1641416,47994,0
SAMARITAN COUNSELING SERVICES OF THE GULF COAST INC,593457923,Sarasota,Sarasota,Public grantmaker,T20I,,1625194,3004566,2961322
D R LONG FOUNDATION INC,521379622,Sarasota,Sarasota,Private foundation,,Y,1621495,733944,0
UNITED WAY OF SOUTH SARASOTA COUNTY INC,591100846,Venice,Sarasota,Public grantmaker,T70Z,,1607652,2968954,2880087
BRAVEHER FOUNDATION INC,874086349,Longboat Key,Sarasota,Private foundation,T22,Y,1598582,668382,0
