score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
70,591956886,COMMUNITY FOUNDATION OF SARASOTA COUNTY INC,Sarasota,Sarasota,34237,T310,,15,518451597,212490133,87039125,name:community-foundation;ntee-grantmaker:T310;name:foundation
70,591052433,GULF COAST COMMUNITY FOUNDATION INC,Venice,Sarasota,34285,T310,,15,482820352,170003096,54435281,name:community-foundation;ntee-grantmaker:T310;name:foundation
70,650833500,MANATEE COMMUNITY FOUNDATION INC,Bradenton,Manatee,34205,T31,,15,69118344,60827625,10235365,name:community-foundation;ntee-grantmaker:T31;name:foundation
70,812127166,BOOSTERS FOUNDATION INC,Sarasota,Sarasota,34237,T30,Y,04,2420338,55492,0,ntee-grantmaker:T30;files-990PF;private-foundation:04;name:foundation;name:alumni/booster
70,650597726,MEMORIAL SCHOLARSHIP PROGRAM OF FREEDOM VILLAGE,Bradenton,Manatee,34209,T30,,15,824417,188023,188023,name:scholarship;ntee-grantmaker:T30
68,656276425,FRANK B FAY III SCHOLARSHIP FOUNDATION 44405846,Sarasota,Sarasota,34236,B11,,17,744175,290598,145040,name:scholarship;name:foundation;ntee-education:B11
68,832985088,CHEMICAL COATERS ASSOC INTERNL FINISHING EDUCATION FOUNDATION,Lakewood Ranch,Manatee,34211,B82,,15,137812,111231,111231,ntee:B82;name:foundation;ntee-education:B82;name:education
68,202745809,CHILDRENS MUSIC EDUCATION FOUNDATION,Bradenton,Manatee,34209,B82,,15,56714,2916,2916,ntee:B82;name:foundation;ntee-education:B82;name:education
68,394095137,HERITAGE EDUCATIONAL ADVANCEMENT & RESOURCE TRUST FOUNDATION INC,North Port,Sarasota,34289,B82,,15,1,0,0,ntee:B82;name:foundation;ntee-education:B82;name:education
68,932653999,RISING SCHOLARS FOUNDATION INC,Sarasota,Sarasota,34276,B90,,16,0,0,0,name:scholarship;name:foundation;ntee-education:B90
65,883778491,IMG ACADEMY FOUNDATION INC,Bradenton,Manatee,34210,T20,Y,04,400749,571438,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation;name:education
65,830753828,ARISTOTLE EDUCATION FOUNDATION INC,Sarasota,Sarasota,34241,T22,Y,04,1,1,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation;name:education
63,593711858,GAMMA XI BOULE FOUNDATION INC,Bradenton,Manatee,34204,B82,,15,684253,203297,203297,ntee:B82;name:foundation;ntee-education:B82
63,823088492,REAGAN DELANEY TOKES MEMORIAL FOUNDATION,Sarasota,Sarasota,34241,B82,,15,179775,50143,50143,ntee:B82;name:foundation;ntee-education:B82
63,882897351,CORE TECHNOLOGY FOUNDATION INC,Osprey,Sarasota,34229,B82,,16,44132,10753,10753,ntee:B82;name:foundation;ntee-education:B82
63,562537578,IVY FOUNDATION INC,Bradenton,Manatee,34206,B82,,15,35052,42071,35569,ntee:B82;name:foundation;ntee-education:B82
63,994505936,NORTH PORT CHAMBER FOUNDATION INC,North Port,Sarasota,34287,B82,,16,600,600,600,ntee:B82;name:foundation;ntee-education:B82
63,030350828,PATRICK LECOURS MEMORIAL FOUNDATION,North Port,Sarasota,34289,B82,,15,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,223915583,ZIMMER FOUNDATION FOR CHINA,Bradenton,Manatee,34212,B82,,16,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,273924560,GRANDE SPORTS WORLD FOUNDATION,Sarasota,Sarasota,34236,B82,,15,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,414601757,RYAN THOMAS STEVENS FOUNDATION INC,Venice,Sarasota,34292,B82,,15,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,463659321,ANTHONY FOWLER FOUNDATION INC,Parrish,Manatee,34219,B82,,15,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,990895323,PPWA FOUNDATION INC,Venice,Sarasota,34292,B82,,16,0,0,0,ntee:B82;name:foundation;ntee-education:B82
63,992372484,EDUCATE ELEVATE FOUNDATION INC,Bradenton,Manatee,34280,B82,,15,0,0,0,ntee:B82;name:foundation;ntee-education:B82
60,363442474,CHARLES AND MARGERY BARANCIK FOUNDATION,Sarasota,Sarasota,34236,T22,Y,04,577773944,66254381,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
