ein,display_name,priority,score,city,county,signals,website,filing_year,filing_xml
651023099,COMMUNITY CHILD CARE CENTER OF DELRAY BEACH FOUNDATION INC,C,30,Delray Beach,Palm Beach,ntee-grantmaker:T30;name:foundation,https://www.achievementcentersfl.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423479349300347_public.xml
311513075,HE HILL FOUNADATION IN C,C,30,Belle Glade,Palm Beach,files-990PF;private-foundation:04,https://hehill.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523189349103992_public.xml
461192986,WIENER MUSEUM OF DECORATIVE ARTS INC,C,30,Hollywood,Broward,files-990PF;private-foundation:03,https://www.wmoda.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513189349102121_public.xml
521150860,SENIOR CITIZENS HOUSING DEVELOPMENT CORPORATION OF FONTANA,C,30,Plantation,Broward,files-990PF;private-foundation:04,https://www.ehdoc.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511139349100211_public.xml
592120945,BOUGAINVILLA HOUSE INC,C,30,Ft Lauderdale,Broward,files-990PF;private-foundation:04,https://tbhcares.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521329349102912_public.xml
844094999,EL ESPACIO 23 INC,C,30,Miami,Miami-Dade,files-990PF;private-foundation:04,https://www.elespacio23.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202512279349100621_public.xml
203169719,TURKISH FRIENDS OF CHABAD INC,C,30,Miami Beach,Miami-Dade,files-990PF;private-foundation:04,https://www.guidestar.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503289349100560_public.xml
651068311,WEST PALM BEACH LIBRARY FOUNDATION INC,C,30,West Palm Beach,Palm Beach,ntee-grantmaker:T12;name:foundation,https://www.wpblf.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500839349300325_public.xml
330351175,GAMMA MU FOUNDATION INC,C,30,Ft Lauderdale,Broward,ntee-grantmaker:T22Z;name:foundation,https://www.gammamufoundation.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500169349300725_public.xml
650844378,MAPET INTERNATIONAL FOUNDATION INC,C,30,Miami Lakes,Miami-Dade,ntee-grantmaker:T99;name:foundation,https://www.mapetfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500919349300720_public.xml
650565251,JOSEPH R NAROT ENDOWMENT FUND INC,C,30,Miami,Miami-Dade,ntee-grantmaker:T30Z;name:foundation,https://www.templeisrael.net,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202510629349300446_public.xml
453608155,DAUER MUSEUM OF CLASSIC CARS INC,C,30,Sunrise,Broward,files-990PF;private-foundation:03,https://www.dauerclassiccars.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202412129349100711_public.xml
455636633,ANTHONY RIZZO FAMILY FOUNDATION,C,30,Parkland,Broward,ntee-grantmaker:T30;name:foundation,https://www.rizzo44.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443189349305674_public.xml
453062684,PEACEFUL MIND PEACEFUL LIFE INC,C,30,Delray Beach,Palm Beach,files-990PF;private-foundation:03,https://www.peacefulmindpeacefulllife.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202541839349100624_public.xml
810867152,ARRIVING HOME INC,C,30,Fort Lauderdale,Broward,files-990PF;private-foundation:03,https://stjohncc.org,2020,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202112589349100526_public.xml
844322279,STAND STRONG INTERNATIONAL INC,C,30,Aventura,Miami-Dade,files-990PF;private-foundation:04,https://standstrong.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531359349101723_public.xml
271832986,THE BATTIER TAKE CHARGE FOUNDATION INC,C,30,Miami,Miami-Dade,ntee-grantmaker:T30;name:foundation,https://battiertakecharge.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441699349301644_public.xml
471540447,NICKS KIDS FOUNDATION INC,C,30,Jupiter,Palm Beach,ntee-grantmaker:T30;name:foundation,https://www.nickskidsfoundation.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202432609349301123_public.xml
272966443,CENTER FOR SOCIAL CHANGE INC,C,30,Miami,Miami-Dade,files-990PF;private-foundation:04,https://www.4socialchange.org,2020,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202123199349102352_public.xml
823570045,COMMUNITY POLICE RELATIONS FOUNDATION,C,30,Miami Beach,Miami-Dade,ntee-grantmaker:T12;name:foundation,https://www.communitypolicerelationsfoundation,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202520349349300012_public.xml
237215223,GRATITUDE HOUSE INC,C,30,Palm Beach,Palm Beach,files-990PF;private-foundation:04,https://www.gratitudehouse.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501359349104615_public.xml
650898338,SHERIFFS FOUNDATION OF BROWARD COUNTY INC,C,30,Plantation,Broward,ntee-grantmaker:T30;name:foundation,https://sheriffsfoundationofbroward.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531049349302043_public.xml
263839455,SANDALS FOUNDATION INC,C,30,Miami,Miami-Dade,ntee-grantmaker:T12;name:foundation,https://www.sandalsfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202541059349302534_public.xml
300176325,FLORIDA PANTHERS FOUNDATION INC,C,30,Sunrise,Broward,ntee-grantmaker:T30;name:foundation,https://www.nhl.com/COMMUNITY/PANTHERS/FOUNDATION,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202421369349314767_public.xml
593786373,ADMIRALS COVE FOUNDATION INC,C,30,Jupiter,Palm Beach,ntee-grantmaker:T30;name:foundation,https://www.admiralscovefoundation.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202422359349301812_public.xml
650387636,LEADERSHIP BROWARD FOUNDATION INC,C,30,Ft Lauderdale,Broward,ntee-grantmaker:T20;name:foundation,https://www.leadershipbroward.org,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431239349300043_public.xml
020509479,HEARTSPRINGS INTERNATIONAL MINISTRIES INC,C,30,Fort Lauderdale,Broward,files-990PF;private-foundation:04,https://www.heartspringsinternational.org,2010,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/201123139349200547_public.xml
263039409,MATER ACADEMY FOUNDATION INC,C,23,Miami,Miami-Dade,name:foundation;ntee-education:B11;name:education,https://guidestar.org,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202410209349300701_public.xml
596169745,MIAMI DADE COLLEGE FOUNDATION INC,C,23,Miami,Miami-Dade,name:foundation;ntee-education:B110;name:education,https://mdcfoundation.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202433389349300703_public.xml
811739253,AVANT GARDE ACADEMY FOUNDATION INC,C,23,Hollywood,Broward,name:foundation;ntee-education:B11;name:education,https://www.agabroward.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202510869349300641_public.xml
651125969,LEARNING EXCELLENCE FOUNDATION OF WEST BROWARD COUNTY INC,C,23,Weston,Broward,name:foundation;ntee-education:B240;name:education,https://imagineweston.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349303411_public.xml
651125973,LEARNING EXCELLENCE FOUNDATION OF SOUTH PALM BEACH INC,C,23,Lake Worth,Palm Beach,name:foundation;ntee-education:B29;name:education,https://www.imagine-chancellor.com,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202421349349308352_public.xml
452690728,MIAMI-DADE FOUNDATION FOR EDUCATIONAL INNOVATION,C,23,Miami Springs,Miami-Dade,name:foundation;ntee-education:B29;name:education,https://www.aiecharterschool.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202520629349300322_public.xml
201776950,ALTERNATIVE EDUCATION FOUNDATION INC,C,23,Davie,Broward,name:foundation;ntee-education:B12;name:education,https://alternativeeducationfoundation.org,2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202331219349301318_public.xml
833623394,SEMINOLE COCONUT CREEK EDUCATION FOUNDATION INC,C,23,West Palm Beach,Palm Beach,name:foundation;ntee-education:B90;name:education,https://semcocoedfund.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511219349302636_public.xml
590674260,MIAMI HEART RESEARCH INSTITUTE INC,C,20,Miami,Miami-Dade,ntee-grantmaker:T30,https://www.floridaheart.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202422149349300802_public.xml
921123945,CLOSEHAUL CAPITAL CHARITABLE,C,20,Miami,Miami-Dade,ntee-grantmaker:T30,https://www.closehaulcharitable.org,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202411389349300301_public.xml
274734125,OUR FUND INC,C,20,Wilton Manors,Broward,ntee-grantmaker:T20,https://theourfund.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402989349300630_public.xml
272978110,GENE SPOTLIGHT INC,C,20,Miami Beach,Miami-Dade,ntee-grantmaker:T30,https://www.genespotlight.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202401319349303985_public.xml
824558049,IMPACT 100 PALM BEACH COUNTY INC,C,20,Boca Raton,Palm Beach,ntee-grantmaker:T31,https://www.impact100pbc.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202540589349301224_public.xml
813693206,SWEET DREAM MAKERS INC,C,20,Boca Raton,Palm Beach,ntee-grantmaker:T30,https://www.sweetdreammakers.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202401089349301125_public.xml
813958709,MCDAVID GROUP CHARITIES INC,C,20,Jupiter,Palm Beach,ntee-grantmaker:T12,https://themcdavidgroupcharities.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443139349303544_public.xml
814497836,CALEB AND CALDER SLOANS AWESOME FOUNDATION INC,D,60,North Miami,Miami-Dade,ntee-grantmaker:T30;files-990PF;private-foundation:04;name:foundation,https://www.ccawesomefoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503219349102265_public.xml
650939395,SAN MIGUEL FOUNDATION INC,D,60,Key Biscayne,Miami-Dade,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.tsmf.org,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202600579349100700_public.xml
822964870,DR GHOULEM BERRAH FOUNDATION,D,60,Aventura,Miami-Dade,ntee-grantmaker:T21;files-990PF;private-foundation:04;name:foundation,https://berrahfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202512319349100721_public.xml
208132975,SPINNAKER FOUNDATION INC,D,60,Jupiter,Palm Beach,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://www.spinnakerfoundation.com,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202610899349100406_public.xml
824556510,SPIRIT AIRLINES CHARITABLE FOUNDATION,D,60,Dania Beach,Broward,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.foundation.spirit.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543179349100029_public.xml
921413154,ZUVICH FAMILY FOUNDATION,D,60,Miami,Miami-Dade,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.thezuvichfamilyfoundation.org,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202610979349100501_public.xml
813577428,GROVES FAMILY FOUNDATION INC,D,60,Coral Gables,Miami-Dade,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://grovesfamilyfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531409349100628_public.xml
582359585,THOMAS EDWIN GREENBAUM CHARITABLE FOUNDATION INC,D,60,Ft Lauderdale,Broward,ntee-grantmaker:T30;files-990PF;private-foundation:04;name:foundation,https://www.tegfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503189349100940_public.xml
562403637,WARREN FAMILY FOUNDATION,D,60,Delray Beach,Palm Beach,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://www.warrenfamilyfoundation.com,2018,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202001019349100605_public.xml
464802331,MOSS FAMILY FOUNDATION INC,D,60,Fort Lauderdale,Broward,ntee-grantmaker:T21;files-990PF;private-foundation:04;name:foundation,https://mosscm.com/ABOUT-MOSS/MOSS-FOUNDATIONS,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202512339349100821_public.xml
